labbridge_path,external_path,status,source_kind,source_id,assertion_origin,value_state,semantic_review,semantic_review_note,loss_reason,note
experiment.active_assertion_ids,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.assertions,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.assertions[exchange.curation.process],/resources/0/metadata/echemdb/curation/process,mapped,assertion,assertion:b215d5678673f62e1b9f63321b1651c2,user_supplied,known,contract_checked,Checked only for faithful copying and target-schema constraints.,,Copied from an explicit user assertion without semantic coercion.
experiment.assertions[exchange.electrodes],/resources/0/metadata/echemdb/system/electrodes,mapped,assertion,assertion:0d5227b9ec71449417108f40a8252811,user_supplied,known,fixture_declaration,Project-owned synthetic fixture declaration; not independently established as a source or physical-system property.,,Copied from an explicit user assertion without semantic coercion.
experiment.assertions[exchange.electrolyte.type],/resources/0/metadata/echemdb/system/electrolyte/type,mapped,assertion,assertion:fbeba32ecabbd4bbc55ed13f0e5c9559,user_supplied,known,fixture_declaration,Project-owned synthetic fixture declaration; not independently established as a source or physical-system property.,,Copied from an explicit user assertion without semantic coercion.
experiment.assertions[exchange.experimental],/resources/0/metadata/echemdb/experimental,mapped,assertion,assertion:ef854f753ab6a7bf5849bb3b379fc803,user_supplied,known,contract_checked,Checked only for faithful copying and target-schema constraints.,,Copied from an explicit user assertion without semantic coercion.
experiment.assertions[exchange.measurement_type],/resources/0/metadata/echemdb/figureDescription/measurementType,mapped,assertion,assertion:e51f91e561026893d172a0e6f2b7166b,user_supplied,known,fixture_declaration,Project-owned synthetic fixture declaration; not independently established as a source or physical-system property.,,Copied from an explicit user assertion without semantic coercion.
experiment.assertions[exchange.source.citation_key],/resources/0/metadata/echemdb/source/citationKey,mapped,assertion,assertion:873d9b9b0947ad050bcbc1d27f699a4a,user_supplied,known,contract_checked,Checked only for faithful copying and target-schema constraints.,,Copied from an explicit user assertion without semantic coercion.
experiment.assertions[exchange.source.url],/resources/0/metadata/echemdb/source/url,mapped,assertion,assertion:e3a7f51dab80bf4335f22fc61cba95b1,user_supplied,known,contract_checked,Checked only for faithful copying and target-schema constraints.,,Copied from an explicit user assertion without semantic coercion.
experiment.assertions[exchange.system.type],/resources/0/metadata/echemdb/system/type,mapped,assertion,assertion:401e78d63ebb5cbbcb290359ef878c97,user_supplied,known,fixture_declaration,Project-owned synthetic fixture declaration; not independently established as a source or physical-system property.,,Copied from an explicit user assertion without semantic coercion.
experiment.data_origin,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.environment_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.execution_mode,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.experiment_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.import_profile_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.observation_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.schema_version,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.source_artifact_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.supersedes_version,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.technique,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.transformation_ids,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
experiment.version,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.data_origin,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
